Treatment,Replicate,SamplingDate,PlateDilution,PictureDate(days since plating),White,Purple S,Purple wr
Shaken,1,1-Sep,-5,1,NAN,NAN,NAN
Shaken,2,1-Sep,-5,1,NAN,NAN,NAN
Shaken,3,1-Sep,-5,1,NAN,NAN,NAN
Shaken,1,1-Sep,-6,1,NAN,NAN,NAN
Shaken,2,1-Sep,-6,1,234,0,0
Shaken,3,1-Sep,-6,1,386,0,0
Shaken,1,1-Sep,-7,1,222,0,0
Shaken,2,1-Sep,-7,1,228,0,0
Shaken,3,1-Sep,-7,1,134,0,0
static,1,1-Sep,-5,1,NAN,0,0
static,2,1-Sep,-5,1,44,0,0
static,3,1-Sep,-5,1,74,0,0
static,1,1-Sep,-6,1,165,0,0
static,2,1-Sep,-6,1,159,0,0
static,3,1-Sep,-6,1,NAN,0,0
static,1,1-Sep,-7,1,97,0,0
static,2,1-Sep,-7,1,196,0,0
static,3,1-Sep,-7,1,423,0,0
Shaken,1,1-Sep,-5,2,NAN,NAN,NAN
Shaken,2,1-Sep,-5,2,0,296,0
Shaken,3,1-Sep,-5,2,NAN,NAN,NAN
Shaken,1,1-Sep,-6,2,NAN,NAN,NAN
Shaken,2,1-Sep,-6,2,0,247,0
Shaken,3,1-Sep,-6,2,NAN,NAN,NAN
Shaken,1,1-Sep,-7,2,0,211,0n
Shaken,2,1-Sep,-7,2,0,210,0
Shaken,3,1-Sep,-7,2,0,141,0
static,1,1-Sep,-5,2,0,176,0
static,2,1-Sep,-5,2,NAN,NAN,NAN
static,3,1-Sep,-5,2,NAN,NAN,NAN
static,1,1-Sep,-6,2,0,154,0
static,2,1-Sep,-6,2,NAN,NAN,NAN
static,3,1-Sep,-6,2,NAN,NAN,NAN
static,1,1-Sep,-7,2,0,111,0
static,2,1-Sep,-7,2,NAN,NAN,NAN
static,3,1-Sep,-7,2,NAN,NAN,NAN
shaken,1,1-Sep,-5,3,NAN,NAN,NAN
Shaken,2,1-Sep,-5,3,NAN,NAN,NAN
Shaken,3,1-Sep,-5,3,NAN,NAN,NAN
Shaken,1,1-Sep,-6,3,0,262,0
Shaken,2,1-Sep,-6,3,0,253,28
Shaken,3,1-Sep,-6,3,0,244,13
Shaken,1,1-Sep,-7,3,0,125,72
Shaken,2,1-Sep,-7,3,0,184,33
Shaken,3,1-Sep,-7,3,0,86,41
